index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
195;206382.50904200002;4701.9699836;137178.09901200002;105677.96515399999;228757.648522;163316.323848;50245.304984;9500.825132;905760.6458599999
196;227020.7599462;5172.16698196;150895.9089132;116245.76166939999;251633.41337419997;179647.9562328;55269.8354824;10450.907645199999;996336.7104459999
197;283685.4131847045;6463.146047459827;188559.70827543343;145260.84283203637;314441.41434930626;224488.3009984067;69065.25253105044;13059.46669452762;1245023.5451636452
198;315910.08676889556;7197.314115420175;209978.76885416658;161761.4559311636;350159.75398829376;249988.59775999334;76910.58089614956;14542.930531072381;1386449.489124355
199;321341.20542789553;7321.050167620174;213588.71882816657;164542.4550141636;356179.6921072937;254286.39575599332;78232.82576414956;14792.95224507238;1410285.2955943546
200;307582.3352843045;7007.584677139827;204443.48816103346;157497.23879723638;340929.1420729063;243398.6121808067;74883.12995025044;14159.562236127622;1349901.0936316452
201;287125.15787619556;6541.513038760175;190846.0339919666;147022.1607912636;318254.08195759373;227210.26838119334;69902.68309574955;13217.81544687238;1260119.7148333548
202;274271.4922795;6248.670636100001;182302.473687;140440.45369149998;304006.87500949996;217038.798798;66773.365834;12626.096557;1203708.2267349998
203;256348.80070480003;5840.341663840001;170389.6387728;131263.1567176;284141.0792168;202856.06541120002;62409.957769600005;11801.024900800001;1125050.065384
204;249288.34644810003;5679.484795980001;165696.7038066;127647.8579097;276315.1596621;197268.92801640002;60691.0394412;11475.996672600002;1094063.516973
205;240236.46391270446;5473.257629859826;159680.10848343343;123012.85016803637;266281.90939730627;190105.91703040668;58487.29358705044;11059.29298252762;1054337.093403645
206;244762.43233599555;5576.371831600174;162688.4241947666;125330.3679438636;271298.5646293937;193687.4440123933;59589.17312534955;11267.64607767238;1074200.4243673547
207;244581.35883990448;5572.2464716198265;162568.06846263344;125237.64943443637;271097.85989250627;193544.1554272067;59545.089481450435;11259.31035372762;1073405.738579645
208;231365.6548734;5271.155823720001;153783.8688924;118470.5609358;256449.3638694;183086.1946296;56327.631376799996;10650.9250164;1015405.355622
209;208735.97569050448;4755.588527099826;138742.39863423342;106883.05548663638;231366.26830710625;165178.6886536067;50818.27335265044;9609.16704132762;916089.415877645
210;202761.7451656045;4619.478869679827;134771.45366283343;103823.95649533639;224744.33637620628;160451.1108580067;49363.80399785044;9334.14315592762;889870.0287606451
211;206744.60172299555;4710.219466200175;137418.77437676658;105863.3743628636;229158.99779639373;163602.85804039333;50333.45904934956;9517.49407967238;907349.7790773549
212;193166.80507549553;4400.879335700174;128393.89944176658;98910.8766553636;214109.1524988937;152858.36305039332;47027.846879349556;8892.43979467238;847760.2629023548
213;178683.8038811;4070.9161173800003;118767.3541446;91494.86983069999;198055.96411509998;141397.5540684;43501.856157199996;8225.7143906;784198.032863
214;168907.7902949;3848.1912234200004;112269.4441914;86489.0714813;187220.07550089998;133661.5176756;41121.815394799996;7775.6753054;741293.5812169999
215;182304.56775749553;4153.407231300174;121173.99949376658;93348.8784893636;202069.2762608937;144262.7670583933;44383.35714334956;8392.39636667238;800088.6499623548
216;185563.23895289554;4227.648862620174;123339.96947816659;95017.4779391636;205681.23913229373;146841.4458559933;45176.704064149555;8542.40939507238;814390.1338443549
217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
218;193166.80507549553;4400.879335700174;128393.89944176658;98910.8766553636;214109.1524988937;152858.36305039332;47027.846879349556;8892.43979467238;847760.2629023548
219;206382.50904200002;4701.9699836;137178.09901200002;105677.96515399999;228757.648522;163316.323848;50245.304984;9500.825132;905760.6458599999
220;227020.7599462;5172.16698196;150895.9089132;116245.76166939999;251633.41337419997;179647.9562328;55269.8354824;10450.907645199999;996336.7104459999
221;283685.4131847045;6463.146047459827;188559.70827543343;145260.84283203637;314441.41434930626;224488.3009984067;69065.25253105044;13059.46669452762;1245023.5451636452
222;315910.08676889556;7197.314115420175;209978.76885416658;161761.4559311636;350159.75398829376;249988.59775999334;76910.58089614956;14542.930531072381;1386449.489124355
223;321341.20542789553;7321.050167620174;213588.71882816657;164542.4550141636;356179.6921072937;254286.39575599332;78232.82576414956;14792.95224507238;1410285.2955943546
224;307582.3352843045;7007.584677139827;204443.48816103346;157497.23879723638;340929.1420729063;243398.6121808067;74883.12995025044;14159.562236127622;1349901.0936316452
225;287125.15787619556;6541.513038760175;190846.0339919666;147022.1607912636;318254.08195759373;227210.26838119334;69902.68309574955;13217.81544687238;1260119.7148333548
226;274271.4922795;6248.670636100001;182302.473687;140440.45369149998;304006.87500949996;217038.798798;66773.365834;12626.096557;1203708.2267349998
227;256348.80070480003;5840.341663840001;170389.6387728;131263.1567176;284141.0792168;202856.06541120002;62409.957769600005;11801.024900800001;1125050.065384
228;249288.34644810003;5679.484795980001;165696.7038066;127647.8579097;276315.1596621;197268.92801640002;60691.0394412;11475.996672600002;1094063.516973
229;240236.46391270446;5473.257629859826;159680.10848343343;123012.85016803637;266281.90939730627;190105.91703040668;58487.29358705044;11059.29298252762;1054337.093403645
230;244762.43233599555;5576.371831600174;162688.4241947666;125330.3679438636;271298.5646293937;193687.4440123933;59589.17312534955;11267.64607767238;1074200.4243673547
231;244581.35883990448;5572.2464716198265;162568.06846263344;125237.64943443637;271097.85989250627;193544.1554272067;59545.089481450435;11259.31035372762;1073405.738579645
232;231365.6548734;5271.155823720001;153783.8688924;118470.5609358;256449.3638694;183086.1946296;56327.631376799996;10650.9250164;1015405.355622
233;208735.97569050448;4755.588527099826;138742.39863423342;106883.05548663638;231366.26830710625;165178.6886536067;50818.27335265044;9609.16704132762;916089.415877645
234;202761.7451656045;4619.478869679827;134771.45366283343;103823.95649533639;224744.33637620628;160451.1108580067;49363.80399785044;9334.14315592762;889870.0287606451
235;206744.60172299555;4710.219466200175;137418.77437676658;105863.3743628636;229158.99779639373;163602.85804039333;50333.45904934956;9517.49407967238;907349.7790773549
236;193166.80507549553;4400.879335700174;128393.89944176658;98910.8766553636;214109.1524988937;152858.36305039332;47027.846879349556;8892.43979467238;847760.2629023548
237;178683.8038811;4070.9161173800003;118767.3541446;91494.86983069999;198055.96411509998;141397.5540684;43501.856157199996;8225.7143906;784198.032863
238;168907.7902949;3848.1912234200004;112269.4441914;86489.0714813;187220.07550089998;133661.5176756;41121.815394799996;7775.6753054;741293.5812169999
239;182304.56775749553;4153.407231300174;121173.99949376658;93348.8784893636;202069.2762608937;144262.7670583933;44383.35714334956;8392.39636667238;800088.6499623548
240;66802.7595057;1521.95344206;44402.384680200004;34206.2887209;74045.2388637;52862.9153508;16263.611876399998;3075.2670822;293180.419581
241;68794.18778439553;1567.323740320174;45726.04503716658;35225.99765466361;76252.56957379372;54438.78894199332;16748.43940214956;3166.94254407238;301920.29473935487
242;73682.19457749554;1678.6861873001742;48975.000013766585;37728.896829363606;81670.51388089372;58306.80713839332;17938.45978334956;3391.9620866723803;323372.5205623549
243;85811.67481220001;1955.0296247600002;57037.20958920001;43939.7855114;95115.02228019999;67905.2083368;20891.4689144;3950.3430812;376605.742226
244;92691.10988399554;2111.762370000174;61609.82492276659;47462.39361986361;102740.29729739373;73349.10012439333;22566.31682134956;4267.0380856723805;406797.8432073549
245;94139.37198560448;2144.7578256798265;62572.454182833426;48203.97483533639;104345.57399620627;74495.15093800669;22918.90663785044;4333.70887592762;413153.8993606451
246;95768.70758330448;2181.878641339826;63655.439175033425;49038.27456023639;106151.55543190626;75784.49033680667;23315.58009825044;4408.71539012762;420304.6413016451
247;97941.15504690447;2231.3730622198264;65099.41916463343;50150.67419343639;108559.53067950626;77503.60953520669;23844.47804545044;4508.72407572762;429838.9638896451
248;91061.77428629553;2074.641554340174;60526.83993056658;46628.093894963604;100934.31586169373;72059.76072559333;22169.643360949558;4192.03157147238;399647.10126635485
249;87078.91772890447;1983.900957819826;57879.519216633424;44588.676027436384;96519.65444150627;68908.01354320667;21199.98830945044;4008.68064772762;382167.3509496451
250;87984.12227580001;2004.5240456400002;58481.189578800004;45052.18514459999;97522.99752779999;69624.32753519999;21420.3668616;4050.3517668;386140.064814
251;77846.01600860448;1773.5496690798261;51742.604260833425;39860.97758633638;86285.75963920627;61601.75695000668;18952.17203385044;3583.64373392762;341646.47995064507
252;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
253;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
254;73501.12108140448;1674.560827319826;48854.644281633424;37636.178319936385;81469.80914400627;58163.51855320668;17894.37613945044;3383.6263627276203;322577.8347746451
255;72414.89734960446;1649.813616879826;48132.65428683342;37079.97850333639;80265.82152020626;57303.95895400668;17629.927165850437;3333.62201992762;317810.67348064505
256;77483.97763879554;1765.301423840174;51501.96499556658;39675.596187463605;85884.47056419372;61315.26573559332;18864.031190949558;3566.97728647238;340057.58509135485
257;76578.7730919;1744.6783360200002;50900.2946334;39212.0870703;84881.1274779;60598.9517436;18643.6526388;3525.3061674;336084.87122699997
258;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
259;71690.76629880001;1633.3158890400002;47651.3396568;36709.1878956;79463.1831708;56730.9335472;17453.6322576;3300.2866248;314632.645404
260;74949.4374942;1707.5575203600001;49817.3096412;38377.78734539999;83075.1460422;59309.6123448;18246.979178399997;3450.2996532;328934.129286
261;68975.20696930001;1571.4478629400003;45846.36466980001;35318.6883541;76453.2141113;54582.034549200005;16792.5098236;3175.2757678000003;302714.742169
262;69880.41151619554;1592.0709507601741;46448.03503196658;35782.19747126361;77456.55719759373;55298.34854119332;17012.88837574956;3216.94688687238;306687.4560333549
263;71871.78548370449;1637.4400116598263;47771.659289433424;36801.87859503639;79663.82770830627;56874.17915440669;17497.702679050442;3308.6198485276204;315427.0928336451
264;66802.7595057;1521.95344206;44402.384680200004;34206.2887209;74045.2388637;52862.9153508;16263.611876399998;3075.2670822;293180.419581
265;68794.18778439553;1567.323740320174;45726.04503716658;35225.99765466361;76252.56957379372;54438.78894199332;16748.43940214956;3166.94254407238;301920.29473935487
266;73682.19457749554;1678.6861873001742;48975.000013766585;37728.896829363606;81670.51388089372;58306.80713839332;17938.45978334956;3391.9620866723803;323372.5205623549
267;85811.67481220001;1955.0296247600002;57037.20958920001;43939.7855114;95115.02228019999;67905.2083368;20891.4689144;3950.3430812;376605.742226
268;92691.10988399554;2111.762370000174;61609.82492276659;47462.39361986361;102740.29729739373;73349.10012439333;22566.31682134956;4267.0380856723805;406797.8432073549
269;94139.37198560448;2144.7578256798265;62572.454182833426;48203.97483533639;104345.57399620627;74495.15093800669;22918.90663785044;4333.70887592762;413153.8993606451
270;95768.70758330448;2181.878641339826;63655.439175033425;49038.27456023639;106151.55543190626;75784.49033680667;23315.58009825044;4408.71539012762;420304.6413016451
271;97941.15504690447;2231.3730622198264;65099.41916463343;50150.67419343639;108559.53067950626;77503.60953520669;23844.47804545044;4508.72407572762;429838.9638896451
272;91061.77428629553;2074.641554340174;60526.83993056658;46628.093894963604;100934.31586169373;72059.76072559333;22169.643360949558;4192.03157147238;399647.10126635485
273;87078.91772890447;1983.900957819826;57879.519216633424;44588.676027436384;96519.65444150627;68908.01354320667;21199.98830945044;4008.68064772762;382167.3509496451
274;87984.12227580001;2004.5240456400002;58481.189578800004;45052.18514459999;97522.99752779999;69624.32753519999;21420.3668616;4050.3517668;386140.064814
275;77846.01600860448;1773.5496690798261;51742.604260833425;39860.97758633638;86285.75963920627;61601.75695000668;18952.17203385044;3583.64373392762;341646.47995064507
276;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
277;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
278;73501.12108140448;1674.560827319826;48854.644281633424;37636.178319936385;81469.80914400627;58163.51855320668;17894.37613945044;3383.6263627276203;322577.8347746451
279;72414.89734960446;1649.813616879826;48132.65428683342;37079.97850333639;80265.82152020626;57303.95895400668;17629.927165850437;3333.62201992762;317810.67348064505
280;77483.97763879554;1765.301423840174;51501.96499556658;39675.596187463605;85884.47056419372;61315.26573559332;18864.031190949558;3566.97728647238;340057.58509135485
281;76578.7730919;1744.6783360200002;50900.2946334;39212.0870703;84881.1274779;60598.9517436;18643.6526388;3525.3061674;336084.87122699997
282;72595.97084569553;1653.938976860174;48253.01001896658;37172.69701276361;80466.52625709372;57447.24753919332;17674.010809749558;3341.95774387238;318605.3592683549
283;71690.76629880001;1633.3158890400002;47651.3396568;36709.1878956;79463.1831708;56730.9335472;17453.6322576;3300.2866248;314632.645404
